major_special_id,major_code,major_name,school_tier,school_tier_name,sample_school_id,sample_school_name,sample_school_rank,sample_school_province,offer_count_in_tier,evaluation_label,directions,confidence,tier_interpretation,sample_basis
121243,570105,小学数学教育,3,普通应用/职业供给高校,10898,豫章师范学院,773,江西,4,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121243,570105,小学数学教育,3,普通应用/职业供给高校,11482,连云港师范学院,799,江苏,4,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121243,570105,小学数学教育,3,普通应用/职业供给高校,11574,淄博师范高等专科学校,,山东,4,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121244,570106,小学英语教育,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121244,570106,小学英语教育,2,区域重点/特色优势高校,,,,,0,否,,low,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,该层级未找到开设样本，按专业属性估算
121244,570106,小学英语教育,3,普通应用/职业供给高校,10898,豫章师范学院,773,江西,3,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121244,570106,小学英语教育,3,普通应用/职业供给高校,11684,新疆师范高等专科学校,,新疆,3,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121244,570106,小学英语教育,3,普通应用/职业供给高校,12387,马鞍山师范高等专科学校,,安徽,3,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121245,570107,小学科学教育,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121245,570107,小学科学教育,2,区域重点/特色优势高校,,,,,0,否,,low,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,该层级未找到开设样本，按专业属性估算
121245,570107,小学科学教育,3,普通应用/职业供给高校,11482,连云港师范学院,799,江苏,2,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121245,570107,小学科学教育,3,普通应用/职业供给高校,11563,焦作师范高等专科学校,,河南,2,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121246,570108,音乐教育,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121246,570108,音乐教育,2,区域重点/特色优势高校,,,,,0,否,,low,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,该层级未找到开设样本，按专业属性估算
121246,570108,音乐教育,3,普通应用/职业供给高校,11623,桂林师范学院,628,广西,5,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121246,570108,音乐教育,3,普通应用/职业供给高校,11580,陇南师范学院,843,甘肃,5,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121246,570108,音乐教育,3,普通应用/职业供给高校,12751,崇左幼儿师范高等专科学校,,广西,5,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121246,570108,音乐教育,3,普通应用/职业供给高校,11563,焦作师范高等专科学校,,河南,5,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121246,570108,音乐教育,3,普通应用/职业供给高校,12387,马鞍山师范高等专科学校,,安徽,5,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121247,570109,美术教育,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121247,570109,美术教育,2,区域重点/特色优势高校,,,,,0,否,,low,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,该层级未找到开设样本，按专业属性估算
121247,570109,美术教育,3,普通应用/职业供给高校,11623,桂林师范学院,628,广西,8,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121247,570109,美术教育,3,普通应用/职业供给高校,11482,连云港师范学院,799,江苏,8,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121247,570109,美术教育,3,普通应用/职业供给高校,11580,陇南师范学院,843,甘肃,8,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121247,570109,美术教育,3,普通应用/职业供给高校,12388,内蒙古民族幼儿师范高等专科学校,,内蒙古,8,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121247,570109,美术教育,3,普通应用/职业供给高校,11684,新疆师范高等专科学校,,新疆,8,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121248,570110,体育教育,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121248,570110,体育教育,2,区域重点/特色优势高校,,,,,0,否,,low,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,该层级未找到开设样本，按专业属性估算
121248,570110,体育教育,3,普通应用/职业供给高校,11123,成都外国语学院,983,四川,3,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121248,570110,体育教育,3,普通应用/职业供给高校,12751,崇左幼儿师范高等专科学校,,广西,3,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121248,570110,体育教育,3,普通应用/职业供给高校,12511,铜仁幼儿师范高等专科学校,,贵州,3,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121249,570111,小学道德与法治教育,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121249,570111,小学道德与法治教育,2,区域重点/特色优势高校,,,,,0,否,,low,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,该层级未找到开设样本，按专业属性估算
121249,570111,小学道德与法治教育,3,普通应用/职业供给高校,11482,连云港师范学院,799,江苏,1,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121250,570112,舞蹈教育,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121250,570112,舞蹈教育,2,区域重点/特色优势高校,,,,,0,否,,low,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,该层级未找到开设样本，按专业属性估算
121250,570112,舞蹈教育,3,普通应用/职业供给高校,12463,湖北幼儿师范高等专科学校,,湖北,1,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121251,570113,艺术教育,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121251,570113,艺术教育,2,区域重点/特色优势高校,,,,,0,否,,low,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,该层级未找到开设样本，按专业属性估算
121251,570113,艺术教育,3,普通应用/职业供给高校,12189,合肥幼儿师范高等专科学校,,安徽,1,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121252,570114,特殊教育,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121252,570114,特殊教育,2,区域重点/特色优势高校,,,,,0,否,,low,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,该层级未找到开设样本，按专业属性估算
121252,570114,特殊教育,3,普通应用/职业供给高校,12189,合肥幼儿师范高等专科学校,,安徽,5,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121252,570114,特殊教育,3,普通应用/职业供给高校,12265,广西幼儿师范高等专科学校,,广西,5,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121252,570114,特殊教育,3,普通应用/职业供给高校,12406,浙江特殊教育职业学院,,浙江,5,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121252,570114,特殊教育,3,普通应用/职业供给高校,11443,襄阳职业技术大学,,湖北,5,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121252,570114,特殊教育,3,普通应用/职业供给高校,12275,长沙职业技术学院,,湖南,5,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121253,570115,现代教育技术,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121253,570115,现代教育技术,2,区域重点/特色优势高校,,,,,0,否,,low,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,该层级未找到开设样本，按专业属性估算
121253,570115,现代教育技术,3,普通应用/职业供给高校,10899,昭通学院,782,云南,1,否,,low,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,远程 edu_school_major + 三层院校表
121254,570116,心理健康教育,1,头部/强研究型高校,,,,,0,否,,low,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,该层级未找到开设样本，按专业属性估算
121254,570116,心理健康教育,2,区域重点/特色优势高校,,,,,0,否,,low,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,该层级未找到开设样本，按专业属性估算
