rysxai_profession_id,major_code,major_name,major_level,category,subject,domain_group,market_demand_count,market_salary_reference,market_demand_signal_level,market_activity_signal_level,job_posting_sample_count,top_industries,top_regions,top_job_directions,top_job_titles,top_skills,market_evidence_summary,tier1_head_research_work_distribution,tier2_regional_feature_work_distribution,tier3_applied_vocational_work_distribution,tier_comparison_summary,inference_confidence,source_scope_note
268,080101,理论与应用力学,本科,工学,力学类,数字技术/计算机,526,9727,limited,very_high,5,房地产:22.52；机械重工:10.69；教育培训:6.66,上海市:15.3；北京市:15.1；东北地区:8.4,销售业务:8.3；电子/电器通用技术:7.4；项目管理/协调:5.9,应用工程师:1；多体动力学仿真工程师:1；力学计量工程师（双休，7~10K）:1,业务导向:1；Python:1；C/C++:1；MATLAB:1；数学/统计相关专业:1,全国需求参考 526（limited），月薪参考 9727；行业Top：房地产:22.52；机械重工:10.69；教育培训:6.66；岗位方向Top：销售业务:8.3；电子/电器通用技术:7.4；项目管理/协调:5.9；地区Top：上海市:15.3；北京市:15.1；东北地区:8.4。,更偏算法、平台研发、后端核心工程、数据/AI工程和产品技术中台；头部平台、金融科技、科研院所或升学后研发岗占优。 结合市场样本，主要对接行业：房地产:22.52；机械重工:10.69；教育培训:6.66；常见岗位方向：销售业务:8.3；电子/电器通用技术:7.4；项目管理/协调:5.9；主要城市/区域：上海市:15.3；北京市:15.1；东北地区:8.4。,更偏企业应用开发、测试、数据分析、政企信息化、系统集成和区域互联网岗位。 结合市场样本，主要对接行业：房地产:22.52；机械重工:10.69；教育培训:6.66；常见岗位方向：销售业务:8.3；电子/电器通用技术:7.4；项目管理/协调:5.9；主要城市/区域：上海市:15.3；北京市:15.1；东北地区:8.4。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏运维、实施、技术支持、测试、电商/信息系统维护、低代码应用和基础开发岗位。 结合市场样本，主要对接行业：房地产:22.52；机械重工:10.69；教育培训:6.66；常见岗位方向：销售业务:8.3；电子/电器通用技术:7.4；项目管理/协调:5.9；主要城市/区域：上海市:15.3；北京市:15.1；东北地区:8.4。,层级差异主要体现在研发深度、项目复杂度和进入头部企业/央国企/研究院的概率。,medium,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
269,080102,工程力学,本科,工学,力学类,数字技术/计算机,1684,8952,limited,very_high,5,房地产:45.63；机械重工:10.66；加工制造:4,北京市:13.2；上海市:9；广州市:4.6,电子/电器通用技术:12.5；现场专业人员:11.2；机械设计/制造:8.7,力学工程师:2；力学/性能/理化测试工程师:1；热力学工程师:1,力学:2；CAE:1；固体力学:1；COMSOL:1；有机械结构工程师经验:1,全国需求参考 1684（limited），月薪参考 8952；行业Top：房地产:45.63；机械重工:10.66；加工制造:4；岗位方向Top：电子/电器通用技术:12.5；现场专业人员:11.2；机械设计/制造:8.7；地区Top：北京市:13.2；上海市:9；广州市:4.6。,更偏算法、平台研发、后端核心工程、数据/AI工程和产品技术中台；头部平台、金融科技、科研院所或升学后研发岗占优。 结合市场样本，主要对接行业：房地产:45.63；机械重工:10.66；加工制造:4；常见岗位方向：电子/电器通用技术:12.5；现场专业人员:11.2；机械设计/制造:8.7；主要城市/区域：北京市:13.2；上海市:9；广州市:4.6。,更偏企业应用开发、测试、数据分析、政企信息化、系统集成和区域互联网岗位。 结合市场样本，主要对接行业：房地产:45.63；机械重工:10.66；加工制造:4；常见岗位方向：电子/电器通用技术:12.5；现场专业人员:11.2；机械设计/制造:8.7；主要城市/区域：北京市:13.2；上海市:9；广州市:4.6。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏运维、实施、技术支持、测试、电商/信息系统维护、低代码应用和基础开发岗位。 结合市场样本，主要对接行业：房地产:45.63；机械重工:10.66；加工制造:4；常见岗位方向：电子/电器通用技术:12.5；现场专业人员:11.2；机械设计/制造:8.7；主要城市/区域：北京市:13.2；上海市:9；广州市:4.6。,层级差异主要体现在研发深度、项目复杂度和进入头部企业/央国企/研究院的概率。,medium,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
270,080201,机械工程,本科,工学,机械类,机械制造/车辆装备,61649,7516,high,very_high,5,机械重工:29.61；汽车:13.07；房地产:6.07,上海市:15.1；华东地区:14.8；北京市:13.1,机械设计/制造:21；销售业务:7.8；生产工艺:6.6,机械工程师:4；机械制造工程师:1,机械工程:4；非标设计经验:3；机电设备经验:3；有机械工程师经验:3；整机设计经验:2,全国需求参考 61649（high），月薪参考 7516；行业Top：机械重工:29.61；汽车:13.07；房地产:6.07；岗位方向Top：机械设计/制造:21；销售业务:7.8；生产工艺:6.6；地区Top：上海市:15.1；华东地区:14.8；北京市:13.1。,更偏研发设计、仿真、智能制造、新能源汽车/机器人/高端装备研发和工艺平台岗。 结合市场样本，主要对接行业：机械重工:29.61；汽车:13.07；房地产:6.07；常见岗位方向：机械设计/制造:21；销售业务:7.8；生产工艺:6.6；主要城市/区域：上海市:15.1；华东地区:14.8；北京市:13.1。,更偏区域制造企业的机械设计、工艺、质量、设备、项目工程和供应链技术岗。 结合市场样本，主要对接行业：机械重工:29.61；汽车:13.07；房地产:6.07；常见岗位方向：机械设计/制造:21；销售业务:7.8；生产工艺:6.6；主要城市/区域：上海市:15.1；华东地区:14.8；北京市:13.1。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏设备维护、生产管理、技工、质检、售后服务、车间工艺和现场改善岗位。 结合市场样本，主要对接行业：机械重工:29.61；汽车:13.07；房地产:6.07；常见岗位方向：机械设计/制造:21；销售业务:7.8；生产工艺:6.6；主要城市/区域：上海市:15.1；华东地区:14.8；北京市:13.1。,层级差异主要体现在研发深度、项目复杂度和进入头部企业/央国企/研究院的概率。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
271,080202,机械设计制造及其自动化,本科,工学,机械类,电子信息/电气自动化,114270,7772,high,very_high,5,机械重工:31.15；汽车:12.18；加工制造:8.97,上海市:11.2；北京市:8.6；华东地区:7.5,机械设计/制造:21.4；生产工艺:8.6；电子/电器通用技术:7.2,非标自动化机械设计工程师:3；机械设计工程师（非标自动化）:1；机械类英文学术期刊助理编辑:1,自动化机械经验:2；非标设计经验:2；SolidWorks:2；有机械工程师经验:2；自动化:1,全国需求参考 114270（high），月薪参考 7772；行业Top：机械重工:31.15；汽车:12.18；加工制造:8.97；岗位方向Top：机械设计/制造:21.4；生产工艺:8.6；电子/电器通用技术:7.2；地区Top：上海市:11.2；北京市:8.6；华东地区:7.5。,更偏芯片/通信/电力电子/自动控制研发、能源系统设计和高端装备技术岗。 结合市场样本，主要对接行业：机械重工:31.15；汽车:12.18；加工制造:8.97；常见岗位方向：机械设计/制造:21.4；生产工艺:8.6；电子/电器通用技术:7.2；主要城市/区域：上海市:11.2；北京市:8.6；华东地区:7.5。,更偏电气工程师、自动化项目、PLC/嵌入式、区域电力设备和制造企业工程岗。 结合市场样本，主要对接行业：机械重工:31.15；汽车:12.18；加工制造:8.97；常见岗位方向：机械设计/制造:21.4；生产工艺:8.6；电子/电器通用技术:7.2；主要城市/区域：上海市:11.2；北京市:8.6；华东地区:7.5。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏设备调试、维修维护、售后技术支持、产线自动化、质检和现场工程岗位。 结合市场样本，主要对接行业：机械重工:31.15；汽车:12.18；加工制造:8.97；常见岗位方向：机械设计/制造:21.4；生产工艺:8.6；电子/电器通用技术:7.2；主要城市/区域：上海市:11.2；北京市:8.6；华东地区:7.5。,层级差异主要体现在研发深度、项目复杂度和进入头部企业/央国企/研究院的概率。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
273,080204,机械电子工程,本科,工学,机械类,电子信息/电气自动化,313344,7226,very_high,very_high,5,机械重工:24.77；电子技术:11.66；汽车:9.16,上海市:17.5；华东地区:9.5；北京市:9.3,机械设计/制造:12.4；销售业务:8.2；项目管理/协调:5.8,经营人才管培生（高管带教电子机械方向）:1；8K+电子电学/机械专利代理人:1；211应届毕业生 （电子、测控、通信、机械）:1,专利代理人:1；知识产权代理人:1；测控:1；通信:1；自动化:1,全国需求参考 313344（very_high），月薪参考 7226；行业Top：机械重工:24.77；电子技术:11.66；汽车:9.16；岗位方向Top：机械设计/制造:12.4；销售业务:8.2；项目管理/协调:5.8；地区Top：上海市:17.5；华东地区:9.5；北京市:9.3。,更偏芯片/通信/电力电子/自动控制研发、能源系统设计和高端装备技术岗。 结合市场样本，主要对接行业：机械重工:24.77；电子技术:11.66；汽车:9.16；常见岗位方向：机械设计/制造:12.4；销售业务:8.2；项目管理/协调:5.8；主要城市/区域：上海市:17.5；华东地区:9.5；北京市:9.3。,更偏电气工程师、自动化项目、PLC/嵌入式、区域电力设备和制造企业工程岗。 结合市场样本，主要对接行业：机械重工:24.77；电子技术:11.66；汽车:9.16；常见岗位方向：机械设计/制造:12.4；销售业务:8.2；项目管理/协调:5.8；主要城市/区域：上海市:17.5；华东地区:9.5；北京市:9.3。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏设备调试、维修维护、售后技术支持、产线自动化、质检和现场工程岗位。 结合市场样本，主要对接行业：机械重工:24.77；电子技术:11.66；汽车:9.16；常见岗位方向：机械设计/制造:12.4；销售业务:8.2；项目管理/协调:5.8；主要城市/区域：上海市:17.5；华东地区:9.5；北京市:9.3。,层级差异主要体现在研发深度、项目复杂度和进入头部企业/央国企/研究院的概率。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
275,080206,过程装备与控制工程,本科,工学,机械类,机械制造/车辆装备,12900,9214,limited,very_high,5,机械重工:24.93；石油化工:23.41；加工制造:6.47,华东地区:46.03；上海市:25.98；北京市:9.2,机械设计/制造:21.5；销售业务:8；化工工程:5.8,管道设计工程师:1；压力容器设计工程师:1；配柜工程师:1,SolidWorks:2；石油化工:1；环保行业:1；工艺设计:1；销售支持:1,全国需求参考 12900（limited），月薪参考 9214；行业Top：机械重工:24.93；石油化工:23.41；加工制造:6.47；岗位方向Top：机械设计/制造:21.5；销售业务:8；化工工程:5.8；地区Top：华东地区:46.03；上海市:25.98；北京市:9.2。,更偏研发设计、仿真、智能制造、新能源汽车/机器人/高端装备研发和工艺平台岗。 结合市场样本，主要对接行业：机械重工:24.93；石油化工:23.41；加工制造:6.47；常见岗位方向：机械设计/制造:21.5；销售业务:8；化工工程:5.8；主要城市/区域：华东地区:46.03；上海市:25.98；北京市:9.2。,更偏区域制造企业的机械设计、工艺、质量、设备、项目工程和供应链技术岗。 结合市场样本，主要对接行业：机械重工:24.93；石油化工:23.41；加工制造:6.47；常见岗位方向：机械设计/制造:21.5；销售业务:8；化工工程:5.8；主要城市/区域：华东地区:46.03；上海市:25.98；北京市:9.2。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏设备维护、生产管理、技工、质检、售后服务、车间工艺和现场改善岗位。 结合市场样本，主要对接行业：机械重工:24.93；石油化工:23.41；加工制造:6.47；常见岗位方向：机械设计/制造:21.5；销售业务:8；化工工程:5.8；主要城市/区域：华东地区:46.03；上海市:25.98；北京市:9.2。,层级差异主要体现在研发深度、项目复杂度和进入头部企业/央国企/研究院的概率。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
276,080207,车辆工程,本科,工学,机械类,机械制造/车辆装备,153401,6608,very_high,very_high,5,汽车:60.26；机械重工:10.95；保险:3.27,上海市:10.6；华东地区:9.4；北京市:8.9,汽车设计/研发:28.3；机械设计/制造:7.2；销售业务:6.8,车辆能源管理工程师:1；车辆信息安全测试工程师:1；车辆运动规划工程师:1,整车集成测试:1；动力域实车测试:1；ECU功能测试:1；GB 44495:1；GB/T 44464:1,全国需求参考 153401（very_high），月薪参考 6608；行业Top：汽车:60.26；机械重工:10.95；保险:3.27；岗位方向Top：汽车设计/研发:28.3；机械设计/制造:7.2；销售业务:6.8；地区Top：上海市:10.6；华东地区:9.4；北京市:8.9。,更偏研发设计、仿真、智能制造、新能源汽车/机器人/高端装备研发和工艺平台岗。 结合市场样本，主要对接行业：汽车:60.26；机械重工:10.95；保险:3.27；常见岗位方向：汽车设计/研发:28.3；机械设计/制造:7.2；销售业务:6.8；主要城市/区域：上海市:10.6；华东地区:9.4；北京市:8.9。,更偏区域制造企业的机械设计、工艺、质量、设备、项目工程和供应链技术岗。 结合市场样本，主要对接行业：汽车:60.26；机械重工:10.95；保险:3.27；常见岗位方向：汽车设计/研发:28.3；机械设计/制造:7.2；销售业务:6.8；主要城市/区域：上海市:10.6；华东地区:9.4；北京市:8.9。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏设备维护、生产管理、技工、质检、售后服务、车间工艺和现场改善岗位。 结合市场样本，主要对接行业：汽车:60.26；机械重工:10.95；保险:3.27；常见岗位方向：汽车设计/研发:28.3；机械设计/制造:7.2；销售业务:6.8；主要城市/区域：上海市:10.6；华东地区:9.4；北京市:8.9。,层级差异主要体现在研发深度、项目复杂度和进入头部企业/央国企/研究院的概率。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
277,080208,汽车服务工程,本科,工学,机械类,机械制造/车辆装备,381181,7332,very_high,very_high,5,汽车:49.51；保险:9.78；金融投资:3.99,上海市:13.4；北京市:8.4；华中地区:6.9,销售业务:13.5；汽车服务:9.6；汽车设计/研发:8.4,工程经理:2；工程造价:2；环评工程:1,第三方造价咨询公司:2；一级造价工程师:2；二级造价工程师:2；AutoCAD:2；广联达:2,全国需求参考 381181（very_high），月薪参考 7332；行业Top：汽车:49.51；保险:9.78；金融投资:3.99；岗位方向Top：销售业务:13.5；汽车服务:9.6；汽车设计/研发:8.4；地区Top：上海市:13.4；北京市:8.4；华中地区:6.9。,更偏研发设计、仿真、智能制造、新能源汽车/机器人/高端装备研发和工艺平台岗。 结合市场样本，主要对接行业：汽车:49.51；保险:9.78；金融投资:3.99；常见岗位方向：销售业务:13.5；汽车服务:9.6；汽车设计/研发:8.4；主要城市/区域：上海市:13.4；北京市:8.4；华中地区:6.9。,更偏区域制造企业的机械设计、工艺、质量、设备、项目工程和供应链技术岗。 结合市场样本，主要对接行业：汽车:49.51；保险:9.78；金融投资:3.99；常见岗位方向：销售业务:13.5；汽车服务:9.6；汽车设计/研发:8.4；主要城市/区域：上海市:13.4；北京市:8.4；华中地区:6.9。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏设备维护、生产管理、技工、质检、售后服务、车间工艺和现场改善岗位。 结合市场样本，主要对接行业：汽车:49.51；保险:9.78；金融投资:3.99；常见岗位方向：销售业务:13.5；汽车服务:9.6；汽车设计/研发:8.4；主要城市/区域：上海市:13.4；北京市:8.4；华中地区:6.9。,层级差异主要体现在研发深度、项目复杂度和进入头部企业/央国企/研究院的概率。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
278,080209,机械工艺技术,本科,工学,机械类,机械制造/车辆装备,101233,7779,high,very_high,5,机械重工:30.88；教育培训:14.15；加工制造:12.86,华北地区:23；北京市:19.4；华中地区:11.8,机械设计/制造:20.8；教师:9.7；生产工艺:8.3,机械工艺工程师:5,机械加工制造经验:4；不需要出差:4；AutoCAD:3；机电设备经验:3；五金经验:3,全国需求参考 101233（high），月薪参考 7779；行业Top：机械重工:30.88；教育培训:14.15；加工制造:12.86；岗位方向Top：机械设计/制造:20.8；教师:9.7；生产工艺:8.3；地区Top：华北地区:23；北京市:19.4；华中地区:11.8。,更偏研发设计、仿真、智能制造、新能源汽车/机器人/高端装备研发和工艺平台岗。 结合市场样本，主要对接行业：机械重工:30.88；教育培训:14.15；加工制造:12.86；常见岗位方向：机械设计/制造:20.8；教师:9.7；生产工艺:8.3；主要城市/区域：华北地区:23；北京市:19.4；华中地区:11.8。,更偏区域制造企业的机械设计、工艺、质量、设备、项目工程和供应链技术岗。 结合市场样本，主要对接行业：机械重工:30.88；教育培训:14.15；加工制造:12.86；常见岗位方向：机械设计/制造:20.8；教师:9.7；生产工艺:8.3；主要城市/区域：华北地区:23；北京市:19.4；华中地区:11.8。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏设备维护、生产管理、技工、质检、售后服务、车间工艺和现场改善岗位。 结合市场样本，主要对接行业：机械重工:30.88；教育培训:14.15；加工制造:12.86；常见岗位方向：机械设计/制造:20.8；教师:9.7；生产工艺:8.3；主要城市/区域：华北地区:23；北京市:19.4；华中地区:11.8。,层级差异主要体现在研发深度、项目复杂度和进入头部企业/央国企/研究院的概率。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
279,080210,微机电系统工程,本科,工学,机械类,机械制造/车辆装备,36638,9991,medium,very_high,5,MEMS设计:15；工艺开发:13；器件测试:12,深圳:13；上海:12；广州:9,产品经理/主管:4；普工/操作工:3；机械工程师:3,系统工程师:5,电子/硬件系统工程师:1；相控阵天线:1,全国需求参考 36638（medium），月薪参考 9991；行业Top：MEMS设计:15；工艺开发:13；器件测试:12；岗位方向Top：产品经理/主管:4；普工/操作工:3；机械工程师:3；地区Top：深圳:13；上海:12；广州:9。,更偏研发设计、仿真、智能制造、新能源汽车/机器人/高端装备研发和工艺平台岗。 结合市场样本，主要对接行业：MEMS设计:15；工艺开发:13；器件测试:12；常见岗位方向：产品经理/主管:4；普工/操作工:3；机械工程师:3；主要城市/区域：深圳:13；上海:12；广州:9。,更偏区域制造企业的机械设计、工艺、质量、设备、项目工程和供应链技术岗。 结合市场样本，主要对接行业：MEMS设计:15；工艺开发:13；器件测试:12；常见岗位方向：产品经理/主管:4；普工/操作工:3；机械工程师:3；主要城市/区域：深圳:13；上海:12；广州:9。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏设备维护、生产管理、技工、质检、售后服务、车间工艺和现场改善岗位。 结合市场样本，主要对接行业：MEMS设计:15；工艺开发:13；器件测试:12；常见岗位方向：产品经理/主管:4；普工/操作工:3；机械工程师:3；主要城市/区域：深圳:13；上海:12；广州:9。,层级差异主要体现在研发深度、项目复杂度和进入头部企业/央国企/研究院的概率。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
280,080211,机电技术教育,本科,工学,机械类,机械制造/车辆装备,132071,7059,high,very_high,5,机械重工:21.88；加工制造:13.31；教育培训:12.22,华东地区:19；上海市:15.5；华中地区:8.3,机械设计/制造:17.2；销售业务:9.3；教师:6.7,机电安装设计工程师:1；机电设计-储备干部:1；高级机电工程师:1,机电相关专业:3；电气安装:2；中级职称及以上:2；擅长SolidWorks:2；擅长AutoCAD:2,全国需求参考 132071（high），月薪参考 7059；行业Top：机械重工:21.88；加工制造:13.31；教育培训:12.22；岗位方向Top：机械设计/制造:17.2；销售业务:9.3；教师:6.7；地区Top：华东地区:19；上海市:15.5；华中地区:8.3。,更偏研发设计、仿真、智能制造、新能源汽车/机器人/高端装备研发和工艺平台岗。 结合市场样本，主要对接行业：机械重工:21.88；加工制造:13.31；教育培训:12.22；常见岗位方向：机械设计/制造:17.2；销售业务:9.3；教师:6.7；主要城市/区域：华东地区:19；上海市:15.5；华中地区:8.3。,更偏区域制造企业的机械设计、工艺、质量、设备、项目工程和供应链技术岗。 结合市场样本，主要对接行业：机械重工:21.88；加工制造:13.31；教育培训:12.22；常见岗位方向：机械设计/制造:17.2；销售业务:9.3；教师:6.7；主要城市/区域：华东地区:19；上海市:15.5；华中地区:8.3。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏设备维护、生产管理、技工、质检、售后服务、车间工艺和现场改善岗位。 结合市场样本，主要对接行业：机械重工:21.88；加工制造:13.31；教育培训:12.22；常见岗位方向：机械设计/制造:17.2；销售业务:9.3；教师:6.7；主要城市/区域：华东地区:19；上海市:15.5；华中地区:8.3。,层级差异主要体现在研发深度、项目复杂度和进入头部企业/央国企/研究院的概率。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
281,080212,汽车维修工程教育,本科,工学,机械类,机械制造/车辆装备,122560,6113,high,very_high,5,汽车:38.79；教育培训:13.16；保险:11.84,华北地区:22；北京市:15；华东地区:8.3,核保/理赔:10.4；汽车服务:9.3；销售业务:7.6,汽车底盘设计工程师:1；汽车车身设计工程师:1；汽车底盘测试工程师:1,CATIA:3；英语:2；白车身:2；三维设计:2；设计相关专业:2,全国需求参考 122560（high），月薪参考 6113；行业Top：汽车:38.79；教育培训:13.16；保险:11.84；岗位方向Top：核保/理赔:10.4；汽车服务:9.3；销售业务:7.6；地区Top：华北地区:22；北京市:15；华东地区:8.3。,更偏研发设计、仿真、智能制造、新能源汽车/机器人/高端装备研发和工艺平台岗。 结合市场样本，主要对接行业：汽车:38.79；教育培训:13.16；保险:11.84；常见岗位方向：核保/理赔:10.4；汽车服务:9.3；销售业务:7.6；主要城市/区域：华北地区:22；北京市:15；华东地区:8.3。,更偏区域制造企业的机械设计、工艺、质量、设备、项目工程和供应链技术岗。 结合市场样本，主要对接行业：汽车:38.79；教育培训:13.16；保险:11.84；常见岗位方向：核保/理赔:10.4；汽车服务:9.3；销售业务:7.6；主要城市/区域：华北地区:22；北京市:15；华东地区:8.3。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏设备维护、生产管理、技工、质检、售后服务、车间工艺和现场改善岗位。 结合市场样本，主要对接行业：汽车:38.79；教育培训:13.16；保险:11.84；常见岗位方向：核保/理赔:10.4；汽车服务:9.3；销售业务:7.6；主要城市/区域：华北地区:22；北京市:15；华东地区:8.3。,层级差异主要体现在研发深度、项目复杂度和进入头部企业/央国企/研究院的概率。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
282,080213,智能制造工程,本科,工学,机械类,机械制造/车辆装备,219611,8107,very_high,very_high,5,智能制造:12；工业机器人:11；自动化技术:10,上海:13；深圳:13；广州:10,产品经理/主管:5；机械工程师:3；产品工艺/制程工程师:3,供应链-设备智能制造工程师:1；C#上位机软件工程师（智能制造）:1；智能制造产品工程师/产品经理:1,3C:1；机器人:1；精密仪器:1；工业工程相关专业:1；沟通能力强:1,全国需求参考 219611（very_high），月薪参考 8107；行业Top：智能制造:12；工业机器人:11；自动化技术:10；岗位方向Top：产品经理/主管:5；机械工程师:3；产品工艺/制程工程师:3；地区Top：上海:13；深圳:13；广州:10。,更偏研发设计、仿真、智能制造、新能源汽车/机器人/高端装备研发和工艺平台岗。 结合市场样本，主要对接行业：智能制造:12；工业机器人:11；自动化技术:10；常见岗位方向：产品经理/主管:5；机械工程师:3；产品工艺/制程工程师:3；主要城市/区域：上海:13；深圳:13；广州:10。,更偏区域制造企业的机械设计、工艺、质量、设备、项目工程和供应链技术岗。 结合市场样本，主要对接行业：智能制造:12；工业机器人:11；自动化技术:10；常见岗位方向：产品经理/主管:5；机械工程师:3；产品工艺/制程工程师:3；主要城市/区域：上海:13；深圳:13；广州:10。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏设备维护、生产管理、技工、质检、售后服务、车间工艺和现场改善岗位。 结合市场样本，主要对接行业：智能制造:12；工业机器人:11；自动化技术:10；常见岗位方向：产品经理/主管:5；机械工程师:3；产品工艺/制程工程师:3；主要城市/区域：上海:13；深圳:13；广州:10。,层级差异主要体现在研发深度、项目复杂度和进入头部企业/央国企/研究院的概率。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
283,080214,智能车辆工程,本科,工学,机械类,机械制造/车辆装备,153401,6608,very_high,very_high,5,自动驾驶算法:15；车载软件研发:14；感知系统开发:13,上海:13；深圳:11；广州:9,机械工程师:4；普工/操作工:4；产品工艺/制程工程师:3,智能开关工程师:1；智能硬件工程师:1；数据智能工程师:1,Python:2；CAD:1；智能开关:1；芯片/半导体/集成电路:1；智能硬件/可穿戴设备:1,全国需求参考 153401（very_high），月薪参考 6608；行业Top：自动驾驶算法:15；车载软件研发:14；感知系统开发:13；岗位方向Top：机械工程师:4；普工/操作工:4；产品工艺/制程工程师:3；地区Top：上海:13；深圳:11；广州:9。,更偏研发设计、仿真、智能制造、新能源汽车/机器人/高端装备研发和工艺平台岗。 结合市场样本，主要对接行业：自动驾驶算法:15；车载软件研发:14；感知系统开发:13；常见岗位方向：机械工程师:4；普工/操作工:4；产品工艺/制程工程师:3；主要城市/区域：上海:13；深圳:11；广州:9。,更偏区域制造企业的机械设计、工艺、质量、设备、项目工程和供应链技术岗。 结合市场样本，主要对接行业：自动驾驶算法:15；车载软件研发:14；感知系统开发:13；常见岗位方向：机械工程师:4；普工/操作工:4；产品工艺/制程工程师:3；主要城市/区域：上海:13；深圳:11；广州:9。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏设备维护、生产管理、技工、质检、售后服务、车间工艺和现场改善岗位。 结合市场样本，主要对接行业：自动驾驶算法:15；车载软件研发:14；感知系统开发:13；常见岗位方向：机械工程师:4；普工/操作工:4；产品工艺/制程工程师:3；主要城市/区域：上海:13；深圳:11；广州:9。,层级差异主要体现在研发深度、项目复杂度和进入头部企业/央国企/研究院的概率。,medium-high,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
284,080215,仿生科学与工程,本科,工学,机械类,机械制造/车辆装备,138,11753,limited,very_high,5,仿生设计师:15；生物医工岗:12；机器人研发:11,上海:12；深圳:11；广州:10,机械工程师:4；普工/操作工:3；产品工艺/制程工程师:3,数据科学家:2；科学老师:2；项目科学家:1,培训机构:2；线下教育:2；要求数据开发/架构经验:1；要求有数据架构经验:1；大数据引擎架构经验:1,全国需求参考 138（limited），月薪参考 11753；行业Top：仿生设计师:15；生物医工岗:12；机器人研发:11；岗位方向Top：机械工程师:4；普工/操作工:3；产品工艺/制程工程师:3；地区Top：上海:12；深圳:11；广州:10。,更偏研发设计、仿真、智能制造、新能源汽车/机器人/高端装备研发和工艺平台岗。 结合市场样本，主要对接行业：仿生设计师:15；生物医工岗:12；机器人研发:11；常见岗位方向：机械工程师:4；普工/操作工:3；产品工艺/制程工程师:3；主要城市/区域：上海:12；深圳:11；广州:10。,更偏区域制造企业的机械设计、工艺、质量、设备、项目工程和供应链技术岗。 结合市场样本，主要对接行业：仿生设计师:15；生物医工岗:12；机器人研发:11；常见岗位方向：机械工程师:4；普工/操作工:3；产品工艺/制程工程师:3；主要城市/区域：上海:12；深圳:11；广州:10。,普通本科场景下，岗位层级通常介于区域骨干与基层执行之间；更偏设备维护、生产管理、技工、质检、售后服务、车间工艺和现场改善岗位。 结合市场样本，主要对接行业：仿生设计师:15；生物医工岗:12；机器人研发:11；常见岗位方向：机械工程师:4；普工/操作工:3；产品工艺/制程工程师:3；主要城市/区域：上海:12；深圳:11；广州:10。,层级差异主要体现在研发深度、项目复杂度和进入头部企业/央国企/研究院的概率。,medium,Source level C: RYSXAI third-party market observation and recruiting samples; not official school-major graduate outcome evidence.
